"","title","author","subject","abstract","meta"
"42","A Survey of Learned Indexes for the Multi-dimensional Space","Abdullah Al-Mamun, Hao Wu, Qiyang He, Jianguo Wang, Walid G. Aref","Databases (cs.DB)","A recent research trend involves treating database index structures as Machine Learning (ML) models. In this domain, single or multiple ML models are trained to learn the mapping from keys to positions inside a data set. This class of indexes is known as ""Learned Indexes."" Learned indexes have demonstrated improved search performance and reduced space requirements for one-dimensional data. The concept of one-dimensional learned indexes has naturally been extended to multi-dimensional (e.g., spatial) data, leading to the development of ""Learned Multi-dimensional Indexes"". This survey focuses on learned multi-dimensional index structures. Specifically, it reviews the current state of this research area, explains the core concepts behind each proposed method, and classifies these methods based on several well-defined criteria. We present a taxonomy that classifies and categorizes each learned multi-dimensional index, and survey the existing literature on learned multi-dimensional indexes according to this taxonomy. Additionally, we present a timeline to illustrate the evolution of research on learned indexes. Finally, we highlight several open challenges and future research directions in this emerging and highly active field.","Mon, 11 Mar 2024 06:32:32 UTC (1,290 KB)"
"43","Manifestation of the Normal Intensity Distribution Law (NIDL) in the rovibrational emission spectrum of hydroxyl radical","Emile S. Medvedev, Aleksander Yu. Ermilov, Vladimir G. Ushakov","Chemical Physics (physics.chem-ph)","The latest experimental [Noll et al. Atmos. Chem. Phys. 20(2020)5269] and theoretical [Brooke et al. J. Quant. Spectr. Rad. Transfer 168(2016)142] data on the OH emission intensities are analyzed with use of the NIDL. It is found that the calculated intensities of the $\Delta v>6$ transitions should not be trusted. The analysis of the OH data revealed that the NIDL theory is not applicable to the satellite bands. The effect of small reduced mass previously discovered in H$_2$ [Ushakov et al. J. Mol. Spectrosc. 399(2024)111863], causing the NIDL straight-line slope to be larger than the one associated with the repulsive branch of the potential, is demonstrated, and the same should be true of all the diatomic hydrides. We performed ab initio calculations of the OH repulsive branch and compared it with the one of Brooke et al. and the other due to Varandas and Voronin [Chem. Phys. 194(1995)91]. We found that the ab initio PEF closely follows the Varandas-Voronin potential in the repulsive region important for calculating the overtone intensities [Medvedev, J. Chem. Phys. 137(2012)174307]. Assumption is made that different potentials can be used to calculate transition frequencies and intensities for spectroscopic databases.","Sun, 10 Mar 2024 07:29:04 UTC (162 KB)"
"44","Texture image retrieval using a classification and contourlet-based features","Asal Rouhafzay, Nadia Baaziz, Mohand Said Allili","Computer Vision and Pattern Recognition (cs.CV)","In this paper, we propose a new framework for improving Content Based Image Retrieval (CBIR) for texture images. This is achieved by using a new image representation based on the RCT-Plus transform which is a novel variant of the Redundant Contourlet transform that extracts a richer directional information in the image. Moreover, the process of image search is improved through a learning-based approach where the images of the database are classified using an adapted similarity metric to the statistical modeling of the RCT-Plus transform. A query is then first classified to select the best texture class after which the retained class images are ranked to select top ones. By this, we have achieved significant improvements in the retrieval rates compared to previous CBIR schemes.","Sun, 10 Mar 2024 00:07:47 UTC (2,830 KB)"
"45","Learned 3D volumetric recovery of clouds and its uncertainty for climate analysis","Roi Ronen, Ilan Koren, Aviad Levis, Eshkol Eytan, Vadim Holodovsky, Yoav Y. Schechner","Computer Vision and Pattern Recognition (cs.CV)","Significant uncertainty in climate prediction and cloud physics is tied to observational gaps relating to shallow scattered clouds. Addressing these challenges requires remote sensing of their three-dimensional (3D) heterogeneous volumetric scattering content. This calls for passive scattering computed tomography (CT). We design a learning-based model (ProbCT) to achieve CT of such clouds, based on noisy multi-view spaceborne images. ProbCT infers - for the first time - the posterior probability distribution of the heterogeneous extinction coefficient, per 3D location. This yields arbitrary valuable statistics, e.g., the 3D field of the most probable extinction and its uncertainty. ProbCT uses a neural-field representation, making essentially real-time inference. ProbCT undergoes supervised training by a new labeled multi-class database of physics-based volumetric fields of clouds and their corresponding images. To improve out-of-distribution inference, we incorporate self-supervised learning through differential rendering. We demonstrate the approach in simulations and on real-world data, and indicate the relevance of 3D recovery and uncertainty to precipitation and renewable energy.","Sat, 9 Mar 2024 14:57:03 UTC (27,367 KB)"
"46","Optimizing LLM Queries in Relational Workloads","Shu Liu, Asim Biswal, Audrey Cheng, Xiangxi Mo, Shiyi Cao, Joseph E. Gonzalez, Ion Stoica, Matei Zaharia","Machine Learning (cs.LG)","Analytical database providers (e.g., Redshift, Databricks, BigQuery) have rapidly added support for invoking Large Language Models (LLMs) through native user-defined functions (UDFs) to help users perform natural language tasks, such as classification, entity extraction, and translation, inside analytical workloads. For instance, an analyst might want to extract customer sentiments on millions of product reviews. However, LLM inference is highly expensive in both computational and economic terms: for example, an NVIDIA L4 GPU running Llama2-7B can only process 6 KB of text per second. In this paper, we explore how to optimize LLM inference for analytical workloads that invoke LLMs within relational queries. We show that relational queries present novel opportunities for accelerating LLM inference, including reordering rows to maximize key-value (KV) cache reuse within the LLM inference engine, reordering columns within a row to further increase cache reuse, and deduplicating redundant inference requests. We implement these optimizations in Apache Spark, with vLLM as the model serving backend and achieve up to 4.4x improvement in end-to-end latency on a benchmark of diverse LLM-based queries on real datasets. To the best of our knowledge, this is the first work to explicitly address the problem of optimizing LLM invocations within SQL queries.","Sat, 9 Mar 2024 07:01:44 UTC (12,692 KB)"
"47","From electrons to phase diagrams with classical and machine learning potentials: automated workflows for materials science with pyiron","Sarath Menon, Yury Lysogorskiy, Alexander L. M. Knoll, Niklas Leimeroth, Marvin Poul, Minaam Qamar, Jan Janssen, Matous Mrovec, Jochen Rohrer, Karsten Albe, Jörg Behler, Ralf Drautz, Jörg Neugebauer","Materials Science (cond-mat.mtrl-sci)","We present a comprehensive and user-friendly framework built upon the pyiron integrated development environment (IDE), enabling researchers to perform the entire Machine Learning Potential (MLP) development cycle consisting of (i) creating systematic DFT databases, (ii) fitting the Density Functional Theory (DFT) data to empirical potentials or MLPs, and (iii) validating the potentials in a largely automatic approach. The power and performance of this framework are demonstrated for three conceptually very different classes of interatomic potentials: an empirical potential (embedded atom method - EAM), neural networks (high-dimensional neural network potentials - HDNNP) and expansions in basis sets (atomic cluster expansion - ACE). As an advanced example for validation and application, we show the computation of a binary composition-temperature phase diagram for Al-Li, a technologically important lightweight alloy system with applications in the aerospace industry.","Fri, 8 Mar 2024 23:26:34 UTC (2,870 KB)"
"48","The Hertzsprung progression of Classical Cepheids in the Gaia era","Marcella Marconi, Giulia De Somma, Roberto Molinaro, Anupam Bhardwaj, Vincenzo Ripepi, Ilaria Musella, Teresa Sicignano, Erasmo trentin, silvio Leccia","Solar and Stellar Astrophysics (astro-ph.SR)","A new fine grid of nonlinear convective pulsation models for the so-called ""bump Cepheids"" is presented to investigate the Hertzprung progression (HP) phenomenon shown by their light and radial pulsation velocity curves. The period corresponding to the center of the HP is investigated as a function of various model assumptions, such as the efficiency of super-adiabatic convection, the mass-luminosity relation, and the metal and helium abundances. The assumed mass-luminosity relation is found to significantly affect the phenomenon but variations in the chemical composition as well as in the stellar mass (at fixed mass-luminosity relation) also play a key role in determining the value of the HP center period. Finally, the predictive capability of the presented theoretical scenario is tested against observed light curves of bump Cepheids in the ESA Gaia database, also considering the variation of the pulsation amplitudes and of the Fourier parameters $R_{21}$ and $\Phi_{21}$ with the pulsation period. A qualitative agreement between theory and observations is found for what concerns the evolution of the light curve morphology as the period moves across the HP center, as well for the pattern in period-amplitude, period-$R21$ and period-$\Phi_{21}$ planes. A larger sample of observed Cepheids with accurate light curves and metallicities is required in order to derive more quantitative conclusions.","Fri, 8 Mar 2024 22:16:32 UTC (10,526 KB)"
"49","Simulating Charged Defects at Database Scale","Jimmy-Xuan Shen, Lars F. Voss, Joel Basile Varley","Materials Science (cond-mat.mtrl-sci)","Point defects have a strong influence on the physical properties of materials, often dominating the electronic and optical behavior in semiconductors and insulators. The simulation and analysis of point defects is therefore crucial for understanding the growth and operation of materials especially for optoelectronics applications. In this work, we present a general-purpose Python framework for the analysis of point defects in crystalline materials, as well as a generalized workflow for their treatment with high-throughput simulations. The distinguishing feature of our approach is an emphasis on a unique, unitcell, structure-only, definition of point defects which decouples the defect definition and the specific supercell representation used to simulate the defect. This allows the results of first-principles calculations to be aggregated into a database without extensive provenance information and is a crucial step in building a persistent database of point defects that can grow over time, a key component towards realizing the idea of a ``defect genome' that can yield more complex relationships governing the behavior of defects in materials. We demonstrate several examples of the approach for three technologically relevant materials and highlight current pitfalls that must be considered when employing these methodologies, as well as their potential solutions.","Fri, 8 Mar 2024 21:53:06 UTC (1,291 KB)"
"50","PipeRAG: Fast Retrieval-Augmented Generation via Algorithm-System Co-design","Wenqi Jiang, Shuai Zhang, Boran Han, Jie Wang, Bernie Wang, Tim Kraska","Computation and Language (cs.CL)","Retrieval-augmented generation (RAG) can enhance the generation quality of large language models (LLMs) by incorporating external token databases. However, retrievals from large databases can constitute a substantial portion of the overall generation time, particularly when retrievals are periodically performed to align the retrieved content with the latest states of generation. In this paper, we introduce PipeRAG, a novel algorithm-system co-design approach to reduce generation latency and enhance generation quality. PipeRAG integrates (1) pipeline parallelism to enable concurrent retrieval and generation processes, (2) flexible retrieval intervals to maximize the efficiency of pipeline parallelism, and (3) a performance model to automatically balance retrieval quality and latency based on the generation states and underlying hardware. Our evaluation shows that, by combining the three aforementioned methods, PipeRAG achieves up to 2.6$\times$ speedup in end-to-end generation latency while improving generation quality. These promising results showcase the effectiveness of co-designing algorithms with underlying systems, paving the way for the adoption of PipeRAG in future RAG systems.","Fri, 8 Mar 2024 21:09:20 UTC (10,178 KB)"
"51","Fast Methods for Computing Photometric Variability of Eccentric Binaries: Boosting, Lensing, and Variable Accretion","Daniel J. D'Orazio, Paul C. Duffell, Christopher Tiede","High Energy Astrophysical Phenomena (astro-ph.HE)","We analyze accretion-rate time series for equal-mass binaries in co-planar gaseous disks spanning a continuous range of orbital eccentricities up to 0.8, for both prograde and retrograde systems. The dominant variability timescales match that of previous investigations; the binary orbital period is dominant for prograde binaries with $e \gtrsim 0.1$, with a 5 times longer ""lump"" period taking over for $e\lesssim 0.1$. This lump period fades and drops from 5 times to 4.5 times the binary period as $e$ approaches 0.1, where it vanishes. For retrograde orbits, the binary orbital period dominates at $e \lesssim 0.55$ and is accompanied by a 2 times longer-timescale periodicity at higher eccentricities. The shape of the accretion-rate time series varies with binary eccentricity. For prograde systems, the orientation of an eccentric disk causes periodic trading of accretion between the binary components in a ratio that we report as a function of binary eccentricity. We present a publicly available tool, binlite, that can rapidly ($\lesssim 0.01$~sec) generate templates for the accretion-rate time series, onto either binary component, for choice of binary eccentricity below 0.8. As an example use-case, we build lightcurve models where the accretion rate through the circumbinary disk and onto each binary component sets contributions to the emitted specific flux. We combine these rest-frame, accretion-variability lightcurves with observer-dependent Doppler boosting and binary self-lensing. This allows a flexible approach to generating lightcurves over a wide range of binary and observer parameter space. We envision binlite as the access point to a living database that will be updated with state-of-the-art hydrodynamical calculations as they advance.","Fri, 8 Mar 2024 19:06:33 UTC (12,983 KB)"
"52","Eternal Sunshine of the Mechanical Mind: The Irreconcilability of Machine Learning and the Right to be Forgotten","Meem Arafat Manab","General Literature (cs.GL)","As we keep rapidly advancing toward an era where artificial intelligence is a constant and normative experience for most of us, we must also be aware of what this vision and this progress entail. By first approximating neural connections and activities in computer circuits and then creating more and more sophisticated versions of this crude approximation, we are now facing an age to come where modern deep learning-based artificial intelligence systems can rightly be called thinking machines, and they are sometimes even lauded for their emergent behavior and black-box approaches. But as we create more powerful electronic brains, with billions of neural connections and parameters, can we guarantee that these mammoths built of artificial neurons will be able to forget the data that we store in them? If they are at some level like a brain, can the right to be forgotten still be protected while dealing with these AIs? The essential gap between machine learning and the RTBF is explored in this article, with a premonition of far-reaching conclusions if the gap is not bridged or reconciled any time soon. The core argument is that deep learning models, due to their structure and size, cannot be expected to forget or delete a data as it would be expected from a tabular database, and they should be treated more like a mechanical brain, albeit still in development.","Wed, 6 Mar 2024 13:23:57 UTC (174 KB)"
"53","Nurses as agents for achieving Environmentally Sustainable Health Systems: A bibliometric analysis","Olga Maria Luque Alcaraz, Pilar Aparicio-Martínez, Antonio Gomera, Manuel Vaquero-Abellán","Computers and Society (cs.CY)","Objective: To analyze the current scientific knowledge and research lines focused on environmentally sustainable health systems, including the role of nurses. Background: There seem to be differences between creating interventions focused on environmentally sustainable health systems, including nurses, and the scarcity of research on this topic, framed on the Sustainable Development Goals. Methods: A bibliometric analysis was carried out, via three databases (Web of Science, Scopus, and Pubmed), and the guideline recommendations were followed to select bibliometric data. Results: The search resulted in 159 publications, significantly increasing the trends from 2017 to 2021 (p=0.028). The most relevant countries in this area were the United States of America, the United Kingdom, and Sweden. Also, the top articles were from relevant journals, indexed in Journal Citation Report, and the first and the second quartile linked to the nursing field and citations (p<0.001). Conclusion: Education is key to achieving environmentally sustainable health systems via institutions and policies. Implications for nursing management: There is a lack of experimental data and policies on achieving or maintaining environmentally sustainable health care systems, indicating that nurses have an important role and should be consulted and included in decision-making policies regarding sustainability in the healthcare systems.","Mon, 5 Feb 2024 12:14:04 UTC (4,234 KB)"
"54","ERBench: An Entity-Relationship based Automatically Verifiable Hallucination Benchmark for Large Language Models","Jio Oh, Soyeon Kim, Junseok Seo, Jindong Wang, Ruochen Xu, Xing Xie, Steven Euijong Whang","Computation and Language (cs.CL)","Large language models (LLMs) have achieved unprecedented performance in various applications, yet their evaluation remains a critical issue. Existing hallucination benchmarks are either static or lack adjustable complexity for thorough analysis. We contend that utilizing existing relational databases is a promising approach for constructing benchmarks due to their accurate knowledge description via functional dependencies. We propose ERBench to automatically convert any relational database into a benchmark based on the entity-relationship (ER) model. Our key idea is to construct questions using the database schema, records, and functional dependencies such that they can be automatically verified. In addition, we use foreign key constraints to join relations and construct multihop questions, which can be arbitrarily complex and used to debug the intermediate answers of LLMs. Finally, ERBench supports continuous evaluation, multimodal questions, and various prompt engineering techniques. In our experiments, we construct an LLM benchmark using databases of multiple domains and make an extensive comparison of contemporary LLMs. We observe that better LLMs like GPT-4 can handle a larger variety of question types, but are by no means perfect. Also, correct answers do not necessarily imply correct rationales, which is an important evaluation that ERBench does better than other benchmarks for various question types. Code is available at https: //github.com/DILAB-KAIST/ERBench.","Fri, 8 Mar 2024 12:42:36 UTC (1,075 KB)"
"55","Fairness-Aware Interpretable Modeling (FAIM) for Trustworthy Machine Learning in Healthcare","Mingxuan Liu, Yilin Ning, Yuhe Ke, Yuqing Shang, Bibhas Chakraborty, Marcus Eng Hock Ong, Roger Vaughan, Nan Liu","Machine Learning (cs.LG)","The escalating integration of machine learning in high-stakes fields such as healthcare raises substantial concerns about model fairness. We propose an interpretable framework - Fairness-Aware Interpretable Modeling (FAIM), to improve model fairness without compromising performance, featuring an interactive interface to identify a ""fairer"" model from a set of high-performing models and promoting the integration of data-driven evidence and clinical expertise to enhance contextualized fairness. We demonstrated FAIM's value in reducing sex and race biases by predicting hospital admission with two real-world databases, MIMIC-IV-ED and SGH-ED. We show that for both datasets, FAIM models not only exhibited satisfactory discriminatory performance but also significantly mitigated biases as measured by well-established fairness metrics, outperforming commonly used bias-mitigation methods. Our approach demonstrates the feasibility of improving fairness without sacrificing performance and provides an a modeling mode that invites domain experts to engage, fostering a multidisciplinary effort toward tailored AI fairness.","Fri, 8 Mar 2024 11:51:00 UTC (1,312 KB)"
"56","Interoperability of the Metaverse: A Digital Ecosystem Perspective Review","Liang Yang, Shi-Ting Ni, Yuyang Wang, Ao Yu, Jyh-An Lee, Pan Hui","Computers and Society (cs.CY)","The Metaverse is at the vanguard of the impending digital revolution, with the potential to significantly transform industries and lifestyles. However, in 2023, skepticism surfaced within industrial and academic spheres, raising concerns that excitement may outpace actual technological progress. Interoperability, recognized as a major barrier to the Metaverse's full potential, is central to this debate. CoinMarketCap's report in February 2023 indicated that of over 240 metaverse initiatives, most existed in isolation, underscoring the interoperability challenge. Despite consensus on its critical role, there is a research gap in exploring the impact on the Metaverse, significance, and developmental extent. Our study bridges this gap via a systematic literature review and content analysis of the Web of Science (WoS) and Scopus databases, yielding 74 publications after a rigorous selection process. Interoperability, difficult to define due to varied contexts and lack of standardization, is central to the Metaverse, often seen as a digital ecosystem. Urs Gasser's framework from Harvard Law School, outlining technological, data, human, and institutional dimensions, systematically addresses interoperability complexities. Incorporating this framework, we dissect literature for a comprehensive Metaverse interoperability overview. Our study seeks to establish benchmarks for future inquiries, navigating the complex field of Metaverse interoperability studies and contributing to academic advancement.","Fri, 8 Mar 2024 10:38:01 UTC (7,107 KB)"
"57","Correlation analysis technique of key parameters for transformer material inspection based on FP-tree and knowledge graph","Jing Xu, Yongbo Zhang","Systems and Control (eess.SY)","As one of the key equipment in the distribution system, the distribution transformer directly affects the reliability of the user power supply. The probability of accidents occurring in the operation of transformer equipment is high, so it has become a focus of material inspection in recent years. However, the large amount of raw data from sample testing is not being used effectively. Given the above problems, this paper aims to mine the relationship between the unqualified distribution transformer inspection items by using the association rule algorithm based on the distribution transformer inspection data collected from 2017 to 2021 and sorting out the key inspection items. At the same time, the unqualified judgment basis of the relevant items is given, and the internal relationship between the inspection items is clarified to a certain extent. Furthermore, based on material and equipment inspection reports, correlations between failed inspection items, and expert knowledge, the knowledge graph of material equipment inspection management is constructed in the graph database Neo4j. The experimental results show that the FP-Growth method performs significantly better than the Apriori method and can accurately assess the relationship between failed distribution transformer inspection items. Finally, the knowledge graph network is visualized to provide a systematic knowledge base for material inspection, which is convenient for knowledge query and management. This method can provide a scientific guidance program for operation and maintenance personnel to do equipment maintenance and also offers a reference for the state evaluation of other high-voltage equipment.","Fri, 8 Mar 2024 06:02:32 UTC (1,573 KB)"
"58","NP-Completeness for the Space-Optimality of Double-Array Tries","Hideo Bannai, Keisuke Goto, Shunsuke Kanda, Dominik Köppl","Data Structures and Algorithms (cs.DS)","Indexing a set of strings for prefix search or membership queries is a fundamental task with many applications such as information retrieval or database systems. A classic abstract data type for modelling such an index is a trie. Due to the fundamental nature of this problem, it has sparked much interest, leading to a variety of trie implementations with different characteristics. A trie implementation that has been well-used in practice is the double-array (trie) consisting of merely two integer arrays. While a traversal takes constant time per node visit, the needed space consumption in computer words can be as large as the product of the number of nodes and the alphabet size. Despite that several heuristics have been proposed on lowering the space requirements, we are unaware of any theoretical guarantees. In this paper, we study the decision problem whether there exists a double-array of a given size. To this end, we first draw a connection to the sparse matrix compression problem, which makes our problem NP-complete for alphabet sizes linear to the number of nodes. We further propose a reduction from the restricted directed Hamiltonian path problem, leading to NP-completeness even for logarithmic-sized alphabets.","Thu, 7 Mar 2024 23:41:01 UTC (787 KB)"
"59","Evaluation of NoSQL in the Energy Marketplace with GraphQL Optimization","Michael Howard","Databases (cs.DB)","The growing popularity of electric vehicles in the United States requires an ever-expanding infrastructure of commercial DC fast charging stations. The U.S. Department of Energy estimates 33,355 publicly available DC fast charging stations as of September 2023. Range anxiety is an important impediment to the adoption of electric vehicles and is even more relevant in underserved regions in the country. The peer-to-peer energy marketplace helps fill the demand by allowing private home and small business owners to rent their 240 Volt, level-2 charging facilities. The existing, publicly accessible outlets are wrapped with a Cloud-connected microcontroller managing security and charging sessions. These microcontrollers act as Edge devices communicating with a Cloud message broker, while both buyer and seller users interact with the framework via a web-based user interface. The database storage used by the marketplace framework is a key component in both the cost of development and the performance that contributes to the user experience. A traditional storage solution is the SQL database. However, difficulty in scaling across multiple nodes and cost of its server-based compute have resulted in a trend in the last 20 years towards other NoSQL, serverless approaches. In this study, we evaluate the NoSQL vs. SQL solutions through a comparison of Google Cloud Firestore and Cloud SQL MySQL offerings. The comparison pits Google's serverless, document-model, non-relational, NoSQL against the server-base, table-model, relational, SQL service. The evaluation is based on query latency, flexibility/scalability, and cost criteria. Through benchmarking and analysis of the architecture, we determine whether Firestore can support the energy marketplace storage needs and if the introduction of a GraphQL middleware layer can overcome its deficiencies.","Thu, 7 Mar 2024 22:45:06 UTC (2,367 KB)"
"60","Large Language Multimodal Models for 5-Year Chronic Disease Cohort Prediction Using EHR Data","Jun-En Ding, Phan Nguyen Minh Thao, Wen-Chih Peng, Jian-Zhe Wang, Chun-Cheng Chug, Min-Chen Hsieh, Yun-Chien Tseng, Ling Chen, Dongsheng Luo, Chi-Te Wang, Pei-fu Chen, Feng Liu, Fang-Ming Hung","Computation and Language (cs.CL)","Chronic diseases such as diabetes are the leading causes of morbidity and mortality worldwide. Numerous research studies have been attempted with various deep learning models in diagnosis. However, most previous studies had certain limitations, including using publicly available datasets (e.g. MIMIC), and imbalanced data. In this study, we collected five-year electronic health records (EHRs) from the Taiwan hospital database, including 1,420,596 clinical notes, 387,392 laboratory test results, and more than 1,505 laboratory test items, focusing on research pre-training large language models. We proposed a novel Large Language Multimodal Models (LLMMs) framework incorporating multimodal data from clinical notes and laboratory test results for the prediction of chronic disease risk. Our method combined a text embedding encoder and multi-head attention layer to learn laboratory test values, utilizing a deep neural network (DNN) module to merge blood features with chronic disease semantics into a latent space. In our experiments, we observe that clinicalBERT and PubMed-BERT, when combined with attention fusion, can achieve an accuracy of 73% in multiclass chronic diseases and diabetes prediction. By transforming laboratory test values into textual descriptions and employing the Flan T-5 model, we achieved a 76% Area Under the ROC Curve (AUROC), demonstrating the effectiveness of leveraging numerical text data for training and inference in language models. This approach significantly improves the accuracy of early-stage diabetes prediction.","Sat, 2 Mar 2024 22:33:17 UTC (3,668 KB)"
"61","What Cannot be Skipped About the Skiplist: A Survey of Skiplists and Their Applications in Big Data Systems","Venkata Sai Pavan Kumar Vadrevu, Lu Xing, Walid G. Aref","Databases (cs.DB)","Skiplists have become prevalent in systems. The main advantages of skiplists are their simplicity and ease of implementation, and the ability to support operations in the same asymptotic complexities as their tree-based counterparts. In this survey, we explore skiplists and their many variants. We highlight many scenarios of how skiplists are useful and fit well in these usage scenarios. We study several extensions to skiplists to make them fit for more applications, e.g., their use in the multi-dimensional space, network overlaying algorithms, as well as serving as indexes in database systems. Besides, we also discuss systems that adopt the idea of skiplists and apply the probabilistic skip pattern into their designs.","Thu, 7 Mar 2024 15:29:04 UTC (6,629 KB)[v2] Fri, 8 Mar 2024 16:14:35 UTC (4,288 KB)"
"62","Children Age Group Detection based on Human-Computer Interaction and Time Series Analysis","Juan Carlos Ruiz-Garcia, Carlos Hojas, Ruben Tolosana, Ruben Vera-Rodriguez, Aythami Morales, Julian Fierrez, Javier Ortega-Garcia, Jaime Herreros-Rodriguez","Human-Computer Interaction (cs.HC)","This article proposes a novel Children-Computer Interaction (CCI) approach for the task of age group detection. This approach focuses on the automatic analysis of the time series generated from the interaction of the children with mobile devices. In particular, we extract a set of 25 time series related to spatial, pressure, and kinematic information of the children interaction while colouring a tree through a pen stylus tablet, a specific test from the large-scale public ChildCIdb database. A complete analysis of the proposed approach is carried out using different time series selection techniques to choose the most discriminative ones for the age group detection task: i) a statistical analysis, and ii) an automatic algorithm called Sequential Forward Search (SFS). In addition, different classification algorithms such as Dynamic Time Warping Barycenter Averaging (DBA) and Hidden Markov Models (HMM) are studied. Accuracy results over 85% are achieved, outperforming previous approaches in the literature and in more challenging age group conditions. Finally, the approach presented in this study can benefit many children-related applications, for example, towards an age-appropriate environment with the technology.","Thu, 7 Mar 2024 15:21:40 UTC (10,765 KB)"
"63","Dissociative recombination of NS+ in collisions with slow electrons","R. Hassaine, F. Gauchet, F. Iacob, J. Zs Mezei, E. Roueff, J. Tennyson, I. F. Schneider","Instrumentation and Methods for Astrophysics (astro-ph.IM)","Cross sections and rate coefficients for the Dissociative Recombination (DR) of the NS+ ion induced by collisions with low-energy electrons are reported for temperatures between 10 and 1000 K, relevant to a large range of interstellar cloud temperatures. Uncertainties are discussed for these rates. Comparisons are made with DR rates for the isovalent NO+ molecular ion which are found to be much faster. The present findings lead to a moderate dissociative reaction rate coefficient, smaller by a factor of 2 than the current estimates reported in the different kinetic databases for a temperature of 10 K. We consider that our rate coefficients obtained through multichannel quantum defect theory for NS+ are likely to be better than those displayed in the different kinetic databases.","Thu, 7 Mar 2024 14:50:34 UTC (1,298 KB)"
"64","On $(r,c)$-constant, planar and circulant graphs","Yair Caro, Xandru Mifsud","Combinatorics (math.CO)","This paper concerns $(r,c)$-constant graphs, which are $r$-regular graphs in which the subgraph induced by the open neighbourhood of every vertex has precisely $c$ edges. The family of $(r,c)$-graphs contains vertex-transitive graphs (and in particular Cayley graphs), graphs with constant link (sometimes called locally isomorphic graphs), $(r,b)$-regular graphs, strongly regular graphs, and much more. This family was recently introduced in [arXiv:2312.08777] serving as important tool in constructing flip graphs [arXiv:2312.08777, arXiv:2401.02315]. In this paper we shall mainly deal with the following: i. Existence and non-existence of $(r, c)$-planar graphs. We completely determine the cases of existence and non-existence of such graphs and supply the smallest order in the case when they exist. ii. We consider the existence of $(r, c)$-circulant graphs. We prove that for $c \equiv 2 \ (\mathrm{mod} \ 3)$ no $(r,c)$-circulant graph exists and that for $c \equiv 0, 1 \ (\mathrm{mod} \ 3)$, $c > 0$ and $r \geq 6 + \sqrt{\frac{8c - 5}{3}}$ there exists $(r,c)$-circulant graphs. Moreover for $c = 0$ and $r \geq 1$, $(r, 0)$-circulants exist. iii. We consider the existence and non-existence of small $(r,c)$-constant graphs, supplying a complete table of the smallest order of graphs we found for $0 \leq c \leq \binom{r}{2}$ and $r \leq 6$. We shall also determine all the cases in this range for which $(r,c)$-constant graphs don't exist. We establish a public database of $(r,c)$-constant graphs for varying $r$, $c$ and order.","Thu, 7 Mar 2024 10:54:58 UTC (111 KB)"
"65","Exploring LLM-based Agents for Root Cause Analysis","Devjeet Roy, Xuchao Zhang, Rashi Bhave, Chetan Bansal, Pedro Las-Casas, Rodrigo Fonseca, Saravan Rajmohan","Software Engineering (cs.SE)","The growing complexity of cloud based software systems has resulted in incident management becoming an integral part of the software development lifecycle. Root cause analysis (RCA), a critical part of the incident management process, is a demanding task for on-call engineers, requiring deep domain knowledge and extensive experience with a team's specific services. Automation of RCA can result in significant savings of time, and ease the burden of incident management on on-call engineers. Recently, researchers have utilized Large Language Models (LLMs) to perform RCA, and have demonstrated promising results. However, these approaches are not able to dynamically collect additional diagnostic information such as incident related logs, metrics or databases, severely restricting their ability to diagnose root causes. In this work, we explore the use of LLM based agents for RCA to address this limitation. We present a thorough empirical evaluation of a ReAct agent equipped with retrieval tools, on an out-of-distribution dataset of production incidents collected at Microsoft. Results show that ReAct performs competitively with strong retrieval and reasoning baselines, but with highly increased factual accuracy. We then extend this evaluation by incorporating discussions associated with incident reports as additional inputs for the models, which surprisingly does not yield significant performance improvements. Lastly, we conduct a case study with a team at Microsoft to equip the ReAct agent with tools that give it access to external diagnostic services that are used by the team for manual RCA. Our results show how agents can overcome the limitations of prior work, and practical considerations for implementing such a system in practice.","Thu, 7 Mar 2024 00:44:01 UTC (578 KB)"
"66","PromptCharm: Text-to-Image Generation through Multi-modal Prompting and Refinement","Zhijie Wang, Yuheng Huang, Da Song, Lei Ma, Tianyi Zhang","Human-Computer Interaction (cs.HC)","The recent advancements in Generative AI have significantly advanced the field of text-to-image generation. The state-of-the-art text-to-image model, Stable Diffusion, is now capable of synthesizing high-quality images with a strong sense of aesthetics. Crafting text prompts that align with the model's interpretation and the user's intent thus becomes crucial. However, prompting remains challenging for novice users due to the complexity of the stable diffusion model and the non-trivial efforts required for iteratively editing and refining the text prompts. To address these challenges, we propose PromptCharm, a mixed-initiative system that facilitates text-to-image creation through multi-modal prompt engineering and refinement. To assist novice users in prompting, PromptCharm first automatically refines and optimizes the user's initial prompt. Furthermore, PromptCharm supports the user in exploring and selecting different image styles within a large database. To assist users in effectively refining their prompts and images, PromptCharm renders model explanations by visualizing the model's attention values. If the user notices any unsatisfactory areas in the generated images, they can further refine the images through model attention adjustment or image inpainting within the rich feedback loop of PromptCharm. To evaluate the effectiveness and usability of PromptCharm, we conducted a controlled user study with 12 participants and an exploratory user study with another 12 participants. These two studies show that participants using PromptCharm were able to create images with higher quality and better aligned with the user's expectations compared with using two variants of PromptCharm that lacked interaction or visualization support.","Wed, 6 Mar 2024 19:55:01 UTC (23,510 KB)"
