"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"430","brooks addiction walker v strap black","quality","rbuchinski","i have diabetes and foot neuropathy but it was a heel issue that led me to buy these shoes  youll pay more for this brand but they are high quality  these are also genuine leather  i inserted goodfeet green inserts and have been very happy",2022-12-10,2,"verified purchase"
"431","brooks addiction walker v strap black","small","zelyntor","i ordered a  because they dont offer  and found that the shoes are tight not unwearable but a bit too tight for comfort",2023-03-17,4,"verified purchase"
"432","brooks addiction walker v strap black","not non slip pr slip or slip resistant","customer","these shoes are not made for the service industry do not use the try before you buy for this company because its been a month and i still have not received a refund",2024-03-10,3,"verified purchase"
"433","brooks addiction walker v strap black","remember wearing brooks for years","bob pendergraff","just what i expected great as usual",2023-05-30,1,"verified purchase"
"434","brooks addiction walker v strap black","best walking  concrete floor walking shoe i have ever owned  iam ","amazon customer","great shoe and i love velcro straps  very very comfortable",2023-04-11,5,"verified purchase"
"435","brooks addiction walker v strap black","not my favorite shoes","paul oberon","the avia walker just feels better and is half the price",2023-03-28,5,"verified purchase"
"436","brooks addiction walker v strap black","go bigger","johndegregoris","just a little tight ",2022-10-01,3,"verified purchase"
"437","brooks addiction walker v strap black","thank you very comfortable","ragheb","great value  great on the feet   straps ",2023-03-09,4,"verified purchase"
"438","brooks addiction walker v strap black","sturdy and true to size","michael a","very comfortable and dont constantly have to worry of shoe laces coming undone",2023-02-22,5,"verified purchase"
"439","brooks addiction walker v strap black","rely on perfect fit","arfer","from  to now not afraid to order online  and extra wide xxxx time and time again",2023-01-24,5,"verified purchase"
"440","brooks addiction walker v strap black","favorite walking shoes","greg","i really like these shoes  they are very comfortable and look good",2022-07-22,5,"verified purchase"
"441","brooks addiction walker v strap black","durable but stiff","frank bell","nice shoes and my diabetic father likes them except for the tongue of the shoe is so stiff",2023-01-20,4,"verified purchase"
"442","brooks addiction walker v strap black","post strokeperfect shoe for walking assistant","peggy s smith","post stroke  my husband is learning to walk again this shoe was recommended by his physical therapist fits perfectly and has definitely helped with his recovery",2022-10-15,3,"verified purchase"
"443","brooks addiction walker v strap black","dont know they sent me the wrong size","cody","box said the correct size shoes were  size smaller  returned  amazon rules for customer service returns  i can tell you that they seemed flimsy compared to the previous brooks version  i love brooks walking shoes because they seemed high quality and fit my foot and always were comfortable right out of the box still wearing the same pair  years later and they get worn for walking  steps plus per day  that says quality  butthe new ones are lighter and were much more flimsythinner imo  i will purchase another correct size pair locally so i can update this review  i tried to get the old style ones even from brooks and they were out of stock  why oh why",2020-02-22,5,"verified purchase"
"444","brooks addiction walker v strap black","well made but slightly smaller than expected","aggi","liked the product but they fit a little smaller than expected",2022-03-25,3,"verified purchase"
"445","brooks addiction walker v strap black","very comfortable","peacemaker","this walking shoe has excellent support and is well made well worth the price",2022-12-19,4,"verified purchase"
"446","brooks addiction walker v strap black","brooks shoes","eric m helmer","walking very good walkers",2023-02-21,5,"verified purchase"
"447","brooks addiction walker v strap black","not as good as the original addiction","john","size runs smaller and tighternew velcro strap has strangenotch in the middle of it makingadjustment difficult after  yrsof the original addiction thisversion is very disappointingand especially at this price",2022-06-22,5,"verified purchase"
"448","brooks addiction walker v strap black","very comfortable shoes","doodles","these shoes seem to fit true to size and my husband says they are wonderfully comfortable",2022-08-23,3,"verified purchase"
"449","brooks addiction walker v strap black","good shoe for working retail","brian b","these shoes are the only ones i can wear for months without wearing them out or them wearing me out i am glad i discovered these shoes several years ago i have only worn this style ever since with no problems",2021-09-30,5,"verified purchase"
"450","brooks addiction walker v strap black","great shoe","skotch","love the quality  wish the toe box was a little larger in height  otherwise they last forever and are very comfortable",2022-05-04,5,"verified purchase"
"451","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,4,NA
"452","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"453","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"454","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"455","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"456","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"457","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"458","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"459","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"460","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"461","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,4,NA
"462","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"463","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"464","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"465","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"466","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"467","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"468","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"469","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"470","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"471","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,4,NA
"472","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"473","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"474","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"475","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"476","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"477","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"478","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"479","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"480","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"481","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,4,NA
"482","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"483","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"484","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"485","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"486","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"487","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"488","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"489","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"490","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"491","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,4,NA
"492","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"493","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"494","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"495","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"496","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"497","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"498","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"499","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"500","nike juniper sneaker sanddrift obsidian",NA,NA,NA,NA,NA,NA
"501","nike-unisex-park20-pants-black","hermoso","pedrito visionary","me encanto",2023-10-01,4,"verified purchase"
"502","nike-unisex-park20-pants-black",NA,"donatella","taglia perfette ma materiale nn il top molto leggeri belli cmq",2024-02-16,5,"verified purchase"
"503","nike-unisex-park20-pants-black","attention court","pillon","tres sympa matire legere et agrablemais attention taille m pour kg un peu court en jambe",2023-11-05,3,"verified purchase"
"504","nike-unisex-park20-pants-black","elegantes","jos miguel","ped talla m y me van muy bien algo ajustados como los quera quizs algo cortos como la mayora de ropa de talla mediana ya que mido  cm",2023-03-29,3,"verified purchase"
"505","nike-unisex-park20-pants-black","ottimo pantalone","davide","tessuto leggero al movimento",2023-08-20,5,"verified purchase"
"506","nike-unisex-park20-pants-black",NA,"rafa bm","muy cmodos",2020-11-05,4,"verified purchase"
"507","nike-unisex-park20-pants-black","pantalon","bulcourt","taille large pour un m",2021-09-24,1,"verified purchase"
"508","nike-unisex-park20-pants-black","great trousers","lizzie","great product",2024-02-18,3,"verified purchase"
"509","nike-unisex-park20-pants-black","no es tan ajustado como el la foto","ciclootto","es muy cmodo y por el precio que tiene est bien pero no queda ajustado como en el anuncio y los hay de mayor calidad",2023-01-05,5,"verified purchase"
"510","nike-unisex-park20-pants-black","great for jogging or biking","amazon customer","i usually like loose ankle sweats for exercise and lounge wear but these are great not loose in the thigh only in the calf",2023-04-29,4,"verified purchase"
"511","nike-unisex-park20-pants-black","hervorragend","erik trautwein","super bequem bin begeistert und der preis ist in ordnung man bezahlt nunmal fr die marke  sternen  wrde es immer wieder kaufen absolute preis empfehlung",2024-02-29,4,"verified purchase"
"512","nike-unisex-park20-pants-black","top hose","meik","zum trainieren optimaleng am fu  gute qualitt",2024-02-28,5,"verified purchase"
"513","nike-unisex-park20-pants-black","angenehm zu tragen","irina","die hose sieht gut aus angenehm zu tragen",2024-02-26,5,"verified purchase"
"514","nike-unisex-park20-pants-black","but short","s fletcher","a little short for me but a good quality item none the less im a medium for pretty much everything so if you are long legged then possibly consider a large",2023-12-17,5,"verified purchase"
"515","nike-unisex-park20-pants-black","perfekt","txl","ich habe mir die hose bestellt und fr den preis entspricht das voll und ganz meinen erwartungen ich habe mir meine gre beim bestellen bestimmen lassen und es passt a",2024-01-30,4,"verified purchase"
"516","nike-unisex-park20-pants-black","excellent quality","rafal","i like the quality highly recommended",2024-02-13,5,"verified purchase"
"517","nike-unisex-park20-pants-black","ok","baikal","bei der ersten lieferung bekam ich eine kinderhose anstatt einer mnner hose jedoch wurde gleich am nchsten tag ersatz geliefert und diese war korrekt produkt ist wie beschrieben und gutes materialwre nur auch schn wenn amazon sich an lieferanweisungen hlt und nicht bei den nachbarn an die tr packt",2023-12-07,5,"verified purchase"
"518","nike-unisex-park20-pants-black","immer wieder gerne","michael k","preis leistung  passt alles immer wieder gerne",2024-02-02,4,"verified purchase"
"519","nike-unisex-park20-pants-black","dnnes material","burak","die verarbeitung der sporthose ist ok wie von nike gewhnt jedoch spiegelt der preis die qualitt des materials wieder es ist sehr dnn und nur fr wrmere temperaturen geeignetdie passform ist gut",2023-11-26,5,"verified purchase"
"520","nike-unisex-park20-pants-black","christmas present","antoinette kostyszyn","they were gratefully received by my nephew  lovely fit  right colour for a university student wash well and keep there shape",2024-01-10,4,"verified purchase"
"521","nike-unisex-park20-pants-black","hose passt","schwarzwlder","sporthose passt bei krpergre von  cm gut leichte dnne hose ideal fr sommer oder indoor",2024-01-16,4,"verified purchase"
"522","nike-unisex-park20-pants-black","gute qualitt","mirco gangolf","passt sehr gut und fhlt sich angenehm an wie gewohnt von nike",2024-01-05,5,"verified purchase"
"523","nike-unisex-park20-pants-black","great fit","action","the pants are lighter than i expected  however the way they hang and the length is perfect",2023-12-07,5,"verified purchase"
"524","nike-unisex-park20-pants-black","hose mit leichten mngeln","amazon kunde","die hosen sind angenehm zu tragenhabe sie schon mehrfach bestelltetwas mchte ich aber bemngelndie nchte sind nicht sehr gut verarbeitet und lsen sich nach kurzer zeit so das man sie erneuern mussdas habe ich bisher bei jeder hose gehabtschade weil sie sonst wirklich super angenehm zu tragen sind",2024-01-29,5,"verified purchase"
"525","nike-unisex-park20-pants-black","gre passt nicht","christian harnisch","vorgeschlagen wird von amazon gre l gekauft habe ich sogar gre m und trotzdem ist die hose an der taille zu weit ich bin cm gro und derzeitig nicht so schlank wie sonst an den waden ist die hose fr mein empfinden sehr eng",2024-01-09,3,"verified purchase"
"526","nike-unisex-park20-pants-black","schlechte qualitt leider von nike","adm","ich htte diese qualitt nicht von nike erwartet",2024-02-21,3,"verified purchase"
"527","nike-unisex-park20-pants-black","not great quality","dave roper","these trousers have laddered and lost stitching in ankles after just  washesthe waistband feels very cheap i wouldnt purchase again",2024-02-27,3,"verified purchase"
"528","nike-unisex-park20-pants-black","gute passform","ewa winkelmann","die hose ist fr den preis echt gut gute passform und qualitt leichte sommer trainingshose",2023-08-11,2,"verified purchase"
"529","nike-unisex-park20-pants-black","sporty garment","hesham hassan","excercis",2023-06-09,4,"verified purchase"
"530","nike-unisex-park20-pants-black","fit","swtyfeet","fit",2023-09-01,4,"verified purchase"
"531","nike-unisex-park20-pants-black","great item","colleen","great items son needed for training",2023-10-16,4,"verified purchase"
"532","nike-unisex-park20-pants-black","leider zu kurz","jule b","fr meinen sohn war sie zu kurz ging zurck nun haben wir l bestellt gut ist das zugband fr den bund gute hose fr winterlichen sport",2023-10-17,5,"verified purchase"
"533","nike-unisex-park20-pants-black","classic nike trackie bottoms","james","really good fit i am  foot  and  waist and the medium fitted well comfortable and look great",2023-09-24,5,"verified purchase"
"534","nike-unisex-park20-pants-black","not what you pay for","cambeee","i was told thered be zip pockets there wasnt i believed that theyd stay on me they dont every time i sit in them i have to pull them all the way back up from my legs they slide off to easily and are therefore not fit to wear to excersize in false advertising",2024-03-13,5,"verified purchase"
"535","nike-unisex-park20-pants-black","good value","k d neal","no real complaints nitpicking zippered or deeper pockets",2023-06-02,1,"verified purchase"
"536","nike-unisex-park20-pants-black","preis  ok sitzt oben wie nen sack plus zu locker","k d neal","preis  ok passt fr den preis note    vom tragekomfort beine schmal oben eher wie ein sack am po gummi viel zu locker man muss es die hose immer verschnren  stoff relativ fest und stabil maximal  wert mehr wrde ich dafr nicht zahlen wollen",2023-05-13,4,"verified purchase"
"537","nike-unisex-park20-pants-black","do not buy","nop","poor quality item worn twice and laddered bought as part of a christmas gift and now dont have the option to return save your money and buy elsewhere",2024-01-30,4,"verified purchase"
"538","nike-unisex-park20-pants-black","super hose","amazon customer","sehr leicht und bequem zu tragen passform auch optimal preisleistung vllig ok ",2023-08-18,3,"verified purchase"
"539","nike-unisex-park20-pants-black","a alles super","amazon customer","a alles super",2023-08-30,1,"verified purchase"
"540","nike-unisex-park20-pants-black","mittlerweile nur noch diese nike","fredy","sehr bequem und gut verarbeitet grsse wie angegeben mehr gibts nicht zu sagen ich habe mittlerweile  davon",2023-07-10,1,"verified purchase"
"541","nike-unisex-park20-pants-black","mine is m size the rubber strength a bit too weak","bob w","everything is good except the rubber strength on waist a bit too weak and tightening strings dont work well",2022-12-19,4,"verified purchase"
"542","nike-unisex-park20-pants-black","shocking quality","paul o","fabrics rip after  wear",2024-02-16,4,"verified purchase"
"543","nike-unisex-park20-pants-black","sitzt sehr gut","paul o","hose passt und sitzt sehr gut sehr bequem",2023-07-05,1,"verified purchase"
"544","nike-unisex-park20-pants-black","ganz ok","mike s","sitzt gut",2023-05-15,1,"verified purchase"
"545","nike-unisex-park20-pants-black","nike never lets me down","burak","great quality and looks for the price love them so far interested to see how they hold up in the gym",2023-01-10,5,"verified purchase"
"546","nike-unisex-park20-pants-black","calidad","delboy","calidad",2023-08-07,3,"verified purchase"
"547","nike-unisex-park20-pants-black","seams are very weak","dikkiedik","overall ok product but definitely not up to nike standards i bought this pair long ago and forgot to write a review the seams were all torn within two weeks i didnt do any aggressive sports with them either just used aorund the home the seams are week the fit is smaller than the recommended sizes and the comfort is ok not the best pair ive ever bought from nike but i wont buy these again better off buying adidas",2023-05-30,5,"verified purchase"
"548","nike-unisex-park20-pants-black","scomodi bassa qualit","murad suleiman","inferiore alle attese rapporto qualit prezzo apparentemente buono ma alla prova dei fatti non valgono i soldi spesi delusione",2023-09-05,5,"verified purchase"
"549","nike-unisex-park20-pants-black","laufmaschen im schritt haben sich gebildet","terzano mauro","sehr geehrte damen und herren es sind nur drei tage als die ware angekommen ist und ich habe die hose nur einen tag getragen im schritt haben sich laufmaschen gebildet anbei die fotos ich bitte sie um die rckmeldung danke fg",2023-11-27,2,"verified purchase"
"550","nike-unisex-park20-pants-black","track suit bottoms","konstantin","it says the pockets have got zips but they havent it is a bit miss leading please sort it thanks",2022-08-13,2,"verified purchase"
"551","nike-soccer-pants-length-trousers",NA,NA,NA,NA,4,NA
"552","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"553","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"554","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"555","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"556","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"557","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"558","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"559","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"560","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"561","nike-soccer-pants-length-trousers",NA,NA,NA,NA,4,NA
"562","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"563","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"564","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"565","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"566","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"567","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"568","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"569","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"570","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"571","nike-soccer-pants-length-trousers",NA,NA,NA,NA,4,NA
"572","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"573","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"574","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"575","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"576","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"577","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"578","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"579","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"580","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"581","nike-soccer-pants-length-trousers",NA,NA,NA,NA,4,NA
"582","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"583","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"584","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"585","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"586","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"587","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"588","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"589","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"590","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"591","nike-soccer-pants-length-trousers",NA,NA,NA,NA,4,NA
"592","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"593","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"594","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"595","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"596","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"597","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"598","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"599","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"600","nike-soccer-pants-length-trousers",NA,NA,NA,NA,NA,NA
"601","nike-sport-trousers-heather-silver","nickel produit conforme a la description","mohamed amine mediouni","tres bon produit je fais m pour kg jai pris du m belle posture et confortable",2020-12-05,4,"verified purchase"
"602","nike-sport-trousers-heather-silver","los clsicos nike","fontcalda gandesa","modelo clsico de nike muy buena cada color resistente a los lavados ni muy gruesos ni muy finos corte ideal ni estrecho ni muy holgado cmodos y de algodn de buena calidad",2023-09-17,5,"verified purchase"
"603","nike-sport-trousers-heather-silver","conforme  sa description","sossodav","article pratique et conforme  sa description et a nos attentes",2022-04-06,5,"verified purchase"
"604","nike-sport-trousers-heather-silver","tapered bzw karottenform","harry","eine normale jogginghose wie man sie von frher kenntdie verarbeitung ist gut der stoff kommt mir dagegen einen tick dnner vor als erwartetsie fhlt sich zwar sehr gut auf der haut an aber ich vermisse ein weicheres gefhl das ist kein echtes fleece futterder schnitt ist tapered dh sie sitzt angeschmiegt an den waden und hat dagegen an den hften etwas mehr luftsie ist zwar elastisch aber bei kniebeugen rutschen unten die beine etwas nach oben",2023-11-09,4,"verified purchase"
"605","nike-sport-trousers-heather-silver","jogging nike gris","marvyn","trs bon jogging bonne taille juste peuttre en longueur pour moi cest juste sinon nickel",2022-08-12,4,"verified purchase"
"606","nike-sport-trousers-heather-silver","jogging","jerestelle","bien",2023-10-06,5,"verified purchase"
"607","nike-sport-trousers-heather-silver","conforme alle aspettative","claudia","pantalone conforme alle aspettative rapporto qualitprezzo equilibrato",2023-10-13,5,"verified purchase"
"608","nike-sport-trousers-heather-silver","parfait","ali boutaleb","qualit au rendez vous et prix trs correcte je recommande ",2023-12-07,4,"verified purchase"
"609","nike-sport-trousers-heather-silver","talla muy grande","vicky carballo","talla muy grande es muy ancho",2023-12-04,5,"verified purchase"
"610","nike-sport-trousers-heather-silver","nike trop court","alcina m","trop courttrs due",2023-01-27,4,"verified purchase"
"611","nike-sport-trousers-heather-silver","super qualit","lacassaigne","produit de qualit ny trop chaud ny trop froid et biensr  la mode ",2021-08-17,4,"verified purchase"
"612","nike-sport-trousers-heather-silver","sehr gut","amazon kunde","sehr gute hose",2024-03-16,5,"verified purchase"
"613","nike-sport-trousers-heather-silver","nickel","ibrahima","rien  dire sur la commande  taille parfaite  livraison  t rapideje le recommande",2023-06-13,5,"verified purchase"
"614","nike-sport-trousers-heather-silver","il pantalone nike migliore","francesco de bei","continuo a considerarlo il pantalone nike migliore per comodit e leggerezza prodotto originale e molto bello",2023-11-01,5,"verified purchase"
"615","nike-sport-trousers-heather-silver","queda anchito no como en la foto","jos t","queda anchito y ajustado de abajo muy chulos la verdad tambin son finos",2024-01-03,5,"verified purchase"
"616","nike-sport-trousers-heather-silver","perfect fit in simplicity","donald scott","grey i mean you can never go wrong with dove grey for a summer fit ",2022-05-27,5,"verified purchase"
"617","nike-sport-trousers-heather-silver","ras conforme","pasquay","matire agrable ras la qualit nike est la",2022-09-22,5,"verified purchase"
"618","nike-sport-trousers-heather-silver","passt wie angegossen","ramona wiebe","passt perfekt  sehr bequem ",2023-12-12,5,"verified purchase"
"619","nike-sport-trousers-heather-silver","avec des air force","tom petit","ca passe",2021-11-27,5,"verified purchase"
"620","nike-sport-trousers-heather-silver","nike et puis cest tout","client damazon","produit correspondant aux attentes en matire de finition et confortje recommande reste fidle  la marque",2020-08-15,5,"verified purchase"
"621","nike-sport-trousers-heather-silver","encore du","client damazon","je reois cet article au bout de  jour aprs lavoir mis les fils senlvent comme si je mtais accroch  quelque chose",2021-08-16,4,"verified purchase"
"622","nike-sport-trousers-heather-silver","taille grand","yanlac","ce produit taille grand",2021-05-26,1,"verified purchase"
"623","nike-sport-trousers-heather-silver","calzano larghi sopra comodissimi pesanti","davide","ho acquistato questi pantaloni di tuta nike per il prezzo estremamente conveniente  li ho pagati  prenotandoli e aspettando circa  giorni per la spedizioneil materiale  ottimo  cotone e  poliestere ed  molto elastico la marca  una garanzia sono alto  e peso  kg e ho acquistato una m e mi sta come deve andarecalzano larghi se volete che il prodotto vi stia slim prendete una taglia in meno e data lelasticit aderir senza problemi ma sono joggers ed  normale calzino larghi quindi se cercate un prodotto aderente vi consiglio di optare per altre soluzionisono caldi quindi non adatti al periodo estivoin conclusione li consiglio sicuramente per alestra o altre attivit dato che sono estremamente comodi inoltre nel periodo invernale mantengono il calore senza far sudare eccessivamente spero di esservi stato utile",2020-01-05,3,"verified purchase"
"624","nike-sport-trousers-heather-silver","well worth the money","davide","very comfortable well made also delivery was very fast only three days to ireland",2021-04-23,5,"verified purchase"
"625","nike-sport-trousers-heather-silver","gut","david devins","tolle hose",2024-02-17,5,"verified purchase"
"626","nike-sport-trousers-heather-silver",NA,"u g","satisfait",2023-10-30,5,"verified purchase"
"627","nike-sport-trousers-heather-silver","comodo e alla moda","norredine","ho appena acquistato il pantalone morbido nike e sono molto soddisfatto del mio acquisto questo pantalone  incredibilmente morbido e confortevole perfetto per luso quotidiano o per fare esercizio la vestibilit  ottima e non stringe mai troppo permettendoti di muoverti liberamente inoltre il design moderno e alla moda lo rende perfetto per labbigliamento casual sia in casa che fuori",2023-04-29,5,"verified purchase"
"628","nike-sport-trousers-heather-silver"," unterschiedliche qualitten","luccico","ich habe mir die hose in zwei verschiedenen farben bestellt in wei und in grau und so wie es bereits manche hier geschrieben haben ist es leider wirklich es gibt zwei verschiedene qualitten die eine qualitt ist innen drin flauschig und warm und die andere ist eher rau und kalt es gleicht aktuell eher einem lotto spiel welche qualitt man bekommt ich glaube dass hier nike die zusammensetzung beziehungsweise die qualitt gendert hat und es nicht eine flschung ist weil diese angeschaute qualitt gibt es nur noch bei nike zu kaufen also wer hier die flauschige qualitt haben mchte wird wahrscheinlich entweder glck haben oder es wird ein altes modell sein",2024-01-06,5,"verified purchase"
"629","nike-sport-trousers-heather-silver","arrived on time","fraky","these look like better quality than had previously ones ordered size bang on and quality made from what looks like good quality cotton  son is well pleased",2020-05-21,5,"verified purchase"
"630","nike-sport-trousers-heather-silver","sehr gut","ritchie","sehr gut",2024-02-05,3,"verified purchase"
"631","nike-sport-trousers-heather-silver","pantalone tuta nike","maria gabriella","come da foto nero intenso bello",2024-01-22,4,"verified purchase"
"632","nike-sport-trousers-heather-silver","tout coton","axelle","trs agrable  porter selon mon fils adolescent taille m pour ",2021-07-14,5,"verified purchase"
"633","nike-sport-trousers-heather-silver","no abriga mucho pero tacto agradable","fina sanchiz","esta bien un poco largo",2024-01-08,5,"verified purchase"
"634","nike-sport-trousers-heather-silver","qualit","hd","bon produit",2022-12-20,5,"verified purchase"
"635","nike-sport-trousers-heather-silver","sent back","jillian patricia","cant review   they were a gift but too short",2024-01-27,5,"verified purchase"
"636","nike-sport-trousers-heather-silver","la qualidad","sid","esta bien",2023-06-08,1,"verified purchase"
"637","nike-sport-trousers-heather-silver","gut","neugieriger kunde","gut",2024-01-13,4,"verified purchase"
"638","nike-sport-trousers-heather-silver","ok","marco","perfetto",2024-01-09,4,"verified purchase"
"639","nike-sport-trousers-heather-silver","me encanta","ana maria miras lopez","buen pantaln d buena calidadmuy recomendable",2024-01-12,5,"verified purchase"
"640","nike-sport-trousers-heather-silver","perfetta","susanna","tuta calza alla perfezione",2023-12-28,5,"verified purchase"
"641","nike-sport-trousers-heather-silver","un buon pantalone","grouchomarx","il pantalone di questa tuta nike  abbastanza leggero adatto per la primavera non  felpato ma neanche troppo leggeronon ancora testato in estate mi riservo un giudizio in futuroai polpacci scende stretto pertanto se vi aspettate il solito modello tuta questo prodotto non fa per voilo trovo comodo ha tre tasche solite due davanti e una posteriormenteho preferito la misura m sono alto  per  kg",2023-05-24,4,"verified purchase"
"642","nike-sport-trousers-heather-silver","passt nicht","ho","hatte xl bestellt fr meinen mann die hose ist leider zu kurz er ist  cm gro ging somit leider zurck stoff fhlte sich aber sonst gut an",2024-01-13,4,"verified purchase"
