"","title","author","subject","abstract","date"
"37","deep adaptative spectral zoom for improved remote heart rate estimation","joaquim comas, adria ruiz, federico sukno","computer vision and pattern recognition","recent advances in remote heart rate measurement, motivated by data-driven approaches, have notably enhanced accuracy. however, these improvements primarily focus on recovering the rppg signal, overlooking the implicit challenges of estimating the heart rate (hr) from the derived signal. while many methods employ the fast fourier transform (fft) for hr estimation, the performance of the fft is inherently affected by a limited frequency resolution. in contrast, the chirp-z transform (czt), a generalization form of fft, can refine the spectrum to the narrow-band range of interest for heart rate, providing improved frequential resolution and, consequently, more accurate estimation. this paper presents the advantages of employing the czt for remote hr estimation and introduces a novel data-driven adaptive czt estimator. the objective of our proposed model is to tailor the czt to match the characteristics of each specific dataset sensor, facilitating a more optimal and accurate estimation of hr from the rppg signal without compromising generalization across diverse datasets. this is achieved through a sparse matrix optimization (smo). we validate the effectiveness of our model through exhaustive evaluations on three publicly available datasets ucla-rppg, pure, and ubfc-rppg employing both intra- and cross-database performance metrics. the results reveal outstanding heart rate estimation capabilities, establishing the proposed approach as a robust and versatile estimator for any rppg method.",2024-03-11
"38","cood: combined out-of-distribution detection using multiple measures for anomaly & novel class detection in large-scale hierarchical classification","l. e. hogeweg, r. gangireddy, d. brunink, v. j. kalkman, l. cornelissen, j.w. kamminga","computer vision and pattern recognition","high-performing out-of-distribution (ood) detection, both anomaly and novel class, is an important prerequisite for the practical use of classification models. in this paper, we focus on the species recognition task in images concerned with large databases, a large number of fine-grained hierarchical classes, severe class imbalance, and varying image quality. we propose a framework for combining individual ood measures into one combined ood (cood) measure using a supervised model. the individual measures are several existing state-of-the-art measures and several novel ood measures developed with novel class detection and hierarchical class structure in mind. cood was extensively evaluated on three large-scale (500k+ images) biodiversity datasets in the context of anomaly and novel class detection. we show that cood outperforms individual, including state-of-the-art, ood measures by a large margin in terms of tpr@1% fpr in the majority of experiments, e.g., improving detecting imagenet images (ood) from 54.3% to 85.4% for the inaturalist 2018 dataset. shap (feature contribution) analysis shows that different individual ood measures are essential for various tasks, indicating that multiple ood measures and combinations are needed to generalize. additionally, we show that explicitly considering id images that are incorrectly classified for the original (species) recognition task is important for constructing high-performing ood detection methods and for practical applicability. the framework can easily be extended or adapted to other tasks and media modalities.",2024-03-11
"39","concurrent speaker detection: a multi-microphone transformer-based approach","amit eliav, sharon gannot","audio and speech processing","we present a deep-learning approach for the task of concurrent speaker detection (csd) using a modified transformer model. our model is designed to handle multi-microphone data but can also work in the single-microphone case. the method can classify audio segments into one of three classes: 1) no speech activity (noise only), 2) only a single speaker is active, and 3) more than one speaker is active. we incorporate a cost-sensitive (cs) loss and a confidence calibration to the training procedure. the approach is evaluated using three real-world databases: ami, alimeeting, and chime 5, demonstrating an improvement over existing approaches.",2024-03-11
"40","born to run, programmed to play: mapping the extended reality exergames landscape","sukran karaosmanoglu, sebastian cmentowski, lennart e. nacke, frank steinicke","human-computer interaction","many people struggle to exercise regularly, raising the risk of serious health-related issues. extended reality (xr) exergames address these hurdles by combining physical exercises with enjoyable, immersive gameplay. while a growing body of research explores xr exergames, no previous review has structured this rapidly expanding research landscape. we conducted a scoping review of the current state of xr exergame research to (i) provide a structured overview, (ii) highlight trends, and (iii) uncover knowledge gaps. after identifying 1318 papers in human-computer interaction and medical databases, we ultimately included 186 papers in our analysis. we provide a quantitative and qualitative summary of xr exergame research, showing current trends and potential future considerations. finally, we provide a taxonomy of xr exergames to help future design and methodological investigation and reporting.",2024-03-11
"41","zero-shot ecg classification with multimodal learning and test-time clinical knowledge enhancement","che liu, zhongwei wan, cheng ouyang, anand shah, wenjia bai, rossella arcucci","signal processing","electrocardiograms (ecgs) are non-invasive diagnostic tools crucial for detecting cardiac arrhythmic diseases in clinical practice. while ecg self-supervised learning (essl) methods show promise in representation learning from unannotated ecg data, they often overlook the clinical knowledge that can be found in reports. this oversight and the requirement for annotated samples for downstream tasks limit essl's versatility. in this work, we address these issues with the multimodal ecg representation learning (merl}) framework. through multimodal learning on ecg records and associated reports, merl is capable of performing zero-shot ecg classification with text prompts, eliminating the need for training data in downstream tasks. at test time, we propose the clinical knowledge enhanced prompt engineering (ckepe) approach, which uses large language models (llms) to exploit external expert-verified clinical knowledge databases, generating more descriptive prompts and reducing hallucinations in llm-generated content to boost zero-shot classification. based on merl, we perform the first benchmark across six public ecg datasets, showing the superior performance of merl compared against essl methods. notably, merl achieves an average auc score of 75.2% in zero-shot classification (without training data), 3.2% higher than linear probed essl methods with 10\% annotated training data, averaged across all six datasets.",2024-03-11
"42","a survey of learned indexes for the multi-dimensional space","abdullah al-mamun, hao wu, qiyang he, jianguo wang, walid g. aref","databases","a recent research trend involves treating database index structures as machine learning (ml) models. in this domain, single or multiple ml models are trained to learn the mapping from keys to positions inside a data set. this class of indexes is known as ""learned indexes."" learned indexes have demonstrated improved search performance and reduced space requirements for one-dimensional data. the concept of one-dimensional learned indexes has naturally been extended to multi-dimensional (e.g., spatial) data, leading to the development of ""learned multi-dimensional indexes"". this survey focuses on learned multi-dimensional index structures. specifically, it reviews the current state of this research area, explains the core concepts behind each proposed method, and classifies these methods based on several well-defined criteria. we present a taxonomy that classifies and categorizes each learned multi-dimensional index, and survey the existing literature on learned multi-dimensional indexes according to this taxonomy. additionally, we present a timeline to illustrate the evolution of research on learned indexes. finally, we highlight several open challenges and future research directions in this emerging and highly active field.",2024-03-11
"43","manifestation of the normal intensity distribution law (nidl) in the rovibrational emission spectrum of hydroxyl radical","emile s. medvedev, aleksander yu. ermilov, vladimir g. ushakov","chemical physics","the latest experimental [noll et al. atmos. chem. phys. 20(2020)5269] and theoretical [brooke et al. j. quant. spectr. rad. transfer 168(2016)142] data on the oh emission intensities are analyzed with use of the nidl. it is found that the calculated intensities of the $\delta v>6$ transitions should not be trusted. the analysis of the oh data revealed that the nidl theory is not applicable to the satellite bands. the effect of small reduced mass previously discovered in h$_2$ [ushakov et al. j. mol. spectrosc. 399(2024)111863], causing the nidl straight-line slope to be larger than the one associated with the repulsive branch of the potential, is demonstrated, and the same should be true of all the diatomic hydrides. we performed ab initio calculations of the oh repulsive branch and compared it with the one of brooke et al. and the other due to varandas and voronin [chem. phys. 194(1995)91]. we found that the ab initio pef closely follows the varandas-voronin potential in the repulsive region important for calculating the overtone intensities [medvedev, j. chem. phys. 137(2012)174307]. assumption is made that different potentials can be used to calculate transition frequencies and intensities for spectroscopic databases.",2024-03-10
"44","texture image retrieval using a classification and contourlet-based features","asal rouhafzay, nadia baaziz, mohand said allili","computer vision and pattern recognition","in this paper, we propose a new framework for improving content based image retrieval (cbir) for texture images. this is achieved by using a new image representation based on the rct-plus transform which is a novel variant of the redundant contourlet transform that extracts a richer directional information in the image. moreover, the process of image search is improved through a learning-based approach where the images of the database are classified using an adapted similarity metric to the statistical modeling of the rct-plus transform. a query is then first classified to select the best texture class after which the retained class images are ranked to select top ones. by this, we have achieved significant improvements in the retrieval rates compared to previous cbir schemes.",2024-03-10
"45","learned 3d volumetric recovery of clouds and its uncertainty for climate analysis","roi ronen, ilan koren, aviad levis, eshkol eytan, vadim holodovsky, yoav y. schechner","computer vision and pattern recognition","significant uncertainty in climate prediction and cloud physics is tied to observational gaps relating to shallow scattered clouds. addressing these challenges requires remote sensing of their three-dimensional (3d) heterogeneous volumetric scattering content. this calls for passive scattering computed tomography (ct). we design a learning-based model (probct) to achieve ct of such clouds, based on noisy multi-view spaceborne images. probct infers - for the first time - the posterior probability distribution of the heterogeneous extinction coefficient, per 3d location. this yields arbitrary valuable statistics, e.g., the 3d field of the most probable extinction and its uncertainty. probct uses a neural-field representation, making essentially real-time inference. probct undergoes supervised training by a new labeled multi-class database of physics-based volumetric fields of clouds and their corresponding images. to improve out-of-distribution inference, we incorporate self-supervised learning through differential rendering. we demonstrate the approach in simulations and on real-world data, and indicate the relevance of 3d recovery and uncertainty to precipitation and renewable energy.",2024-03-09
"46","optimizing llm queries in relational workloads","shu liu, asim biswal, audrey cheng, xiangxi mo, shiyi cao, joseph e. gonzalez, ion stoica, matei zaharia","machine learning","analytical database providers (e.g., redshift, databricks, bigquery) have rapidly added support for invoking large language models (llms) through native user-defined functions (udfs) to help users perform natural language tasks, such as classification, entity extraction, and translation, inside analytical workloads. for instance, an analyst might want to extract customer sentiments on millions of product reviews. however, llm inference is highly expensive in both computational and economic terms: for example, an nvidia l4 gpu running llama2-7b can only process 6 kb of text per second. in this paper, we explore how to optimize llm inference for analytical workloads that invoke llms within relational queries. we show that relational queries present novel opportunities for accelerating llm inference, including reordering rows to maximize key-value (kv) cache reuse within the llm inference engine, reordering columns within a row to further increase cache reuse, and deduplicating redundant inference requests. we implement these optimizations in apache spark, with vllm as the model serving backend and achieve up to 4.4x improvement in end-to-end latency on a benchmark of diverse llm-based queries on real datasets. to the best of our knowledge, this is the first work to explicitly address the problem of optimizing llm invocations within sql queries.",2024-03-09
"47","from electrons to phase diagrams with classical and machine learning potentials: automated workflows for materials science with pyiron","sarath menon, yury lysogorskiy, alexander l. m. knoll, niklas leimeroth, marvin poul, minaam qamar, jan janssen, matous mrovec, jochen rohrer, karsten albe, jörg behler, ralf drautz, jörg neugebauer","materials science","we present a comprehensive and user-friendly framework built upon the pyiron integrated development environment (ide), enabling researchers to perform the entire machine learning potential (mlp) development cycle consisting of (i) creating systematic dft databases, (ii) fitting the density functional theory (dft) data to empirical potentials or mlps, and (iii) validating the potentials in a largely automatic approach. the power and performance of this framework are demonstrated for three conceptually very different classes of interatomic potentials: an empirical potential (embedded atom method - eam), neural networks (high-dimensional neural network potentials - hdnnp) and expansions in basis sets (atomic cluster expansion - ace). as an advanced example for validation and application, we show the computation of a binary composition-temperature phase diagram for al-li, a technologically important lightweight alloy system with applications in the aerospace industry.",2024-03-08
"48","the hertzsprung progression of classical cepheids in the gaia era","marcella marconi, giulia de somma, roberto molinaro, anupam bhardwaj, vincenzo ripepi, ilaria musella, teresa sicignano, erasmo trentin, silvio leccia","solar and stellar astrophysics","a new fine grid of nonlinear convective pulsation models for the so-called ""bump cepheids"" is presented to investigate the hertzprung progression (hp) phenomenon shown by their light and radial pulsation velocity curves. the period corresponding to the center of the hp is investigated as a function of various model assumptions, such as the efficiency of super-adiabatic convection, the mass-luminosity relation, and the metal and helium abundances. the assumed mass-luminosity relation is found to significantly affect the phenomenon but variations in the chemical composition as well as in the stellar mass (at fixed mass-luminosity relation) also play a key role in determining the value of the hp center period. finally, the predictive capability of the presented theoretical scenario is tested against observed light curves of bump cepheids in the esa gaia database, also considering the variation of the pulsation amplitudes and of the fourier parameters $r_{21}$ and $\phi_{21}$ with the pulsation period. a qualitative agreement between theory and observations is found for what concerns the evolution of the light curve morphology as the period moves across the hp center, as well for the pattern in period-amplitude, period-$r21$ and period-$\phi_{21}$ planes. a larger sample of observed cepheids with accurate light curves and metallicities is required in order to derive more quantitative conclusions.",2024-03-08
"49","simulating charged defects at database scale","jimmy-xuan shen, lars f. voss, joel basile varley","materials science","point defects have a strong influence on the physical properties of materials, often dominating the electronic and optical behavior in semiconductors and insulators. the simulation and analysis of point defects is therefore crucial for understanding the growth and operation of materials especially for optoelectronics applications. in this work, we present a general-purpose python framework for the analysis of point defects in crystalline materials, as well as a generalized workflow for their treatment with high-throughput simulations. the distinguishing feature of our approach is an emphasis on a unique, unitcell, structure-only, definition of point defects which decouples the defect definition and the specific supercell representation used to simulate the defect. this allows the results of first-principles calculations to be aggregated into a database without extensive provenance information and is a crucial step in building a persistent database of point defects that can grow over time, a key component towards realizing the idea of a ``defect genome' that can yield more complex relationships governing the behavior of defects in materials. we demonstrate several examples of the approach for three technologically relevant materials and highlight current pitfalls that must be considered when employing these methodologies, as well as their potential solutions.",2024-03-08
"50","piperag: fast retrieval-augmented generation via algorithm-system co-design","wenqi jiang, shuai zhang, boran han, jie wang, bernie wang, tim kraska","computation and language","retrieval-augmented generation (rag) can enhance the generation quality of large language models (llms) by incorporating external token databases. however, retrievals from large databases can constitute a substantial portion of the overall generation time, particularly when retrievals are periodically performed to align the retrieved content with the latest states of generation. in this paper, we introduce piperag, a novel algorithm-system co-design approach to reduce generation latency and enhance generation quality. piperag integrates (1) pipeline parallelism to enable concurrent retrieval and generation processes, (2) flexible retrieval intervals to maximize the efficiency of pipeline parallelism, and (3) a performance model to automatically balance retrieval quality and latency based on the generation states and underlying hardware. our evaluation shows that, by combining the three aforementioned methods, piperag achieves up to 2.6$\times$ speedup in end-to-end generation latency while improving generation quality. these promising results showcase the effectiveness of co-designing algorithms with underlying systems, paving the way for the adoption of piperag in future rag systems.",2024-03-08
"51","fast methods for computing photometric variability of eccentric binaries: boosting, lensing, and variable accretion","daniel j. d'orazio, paul c. duffell, christopher tiede","high energy astrophysical phenomena","we analyze accretion-rate time series for equal-mass binaries in co-planar gaseous disks spanning a continuous range of orbital eccentricities up to 0.8, for both prograde and retrograde systems. the dominant variability timescales match that of previous investigations; the binary orbital period is dominant for prograde binaries with $e \gtrsim 0.1$, with a 5 times longer ""lump"" period taking over for $e\lesssim 0.1$. this lump period fades and drops from 5 times to 4.5 times the binary period as $e$ approaches 0.1, where it vanishes. for retrograde orbits, the binary orbital period dominates at $e \lesssim 0.55$ and is accompanied by a 2 times longer-timescale periodicity at higher eccentricities. the shape of the accretion-rate time series varies with binary eccentricity. for prograde systems, the orientation of an eccentric disk causes periodic trading of accretion between the binary components in a ratio that we report as a function of binary eccentricity. we present a publicly available tool, binlite, that can rapidly ($\lesssim 0.01$~sec) generate templates for the accretion-rate time series, onto either binary component, for choice of binary eccentricity below 0.8. as an example use-case, we build lightcurve models where the accretion rate through the circumbinary disk and onto each binary component sets contributions to the emitted specific flux. we combine these rest-frame, accretion-variability lightcurves with observer-dependent doppler boosting and binary self-lensing. this allows a flexible approach to generating lightcurves over a wide range of binary and observer parameter space. we envision binlite as the access point to a living database that will be updated with state-of-the-art hydrodynamical calculations as they advance.",2024-03-08
"52","eternal sunshine of the mechanical mind: the irreconcilability of machine learning and the right to be forgotten","meem arafat manab","general literature","as we keep rapidly advancing toward an era where artificial intelligence is a constant and normative experience for most of us, we must also be aware of what this vision and this progress entail. by first approximating neural connections and activities in computer circuits and then creating more and more sophisticated versions of this crude approximation, we are now facing an age to come where modern deep learning-based artificial intelligence systems can rightly be called thinking machines, and they are sometimes even lauded for their emergent behavior and black-box approaches. but as we create more powerful electronic brains, with billions of neural connections and parameters, can we guarantee that these mammoths built of artificial neurons will be able to forget the data that we store in them? if they are at some level like a brain, can the right to be forgotten still be protected while dealing with these ais? the essential gap between machine learning and the rtbf is explored in this article, with a premonition of far-reaching conclusions if the gap is not bridged or reconciled any time soon. the core argument is that deep learning models, due to their structure and size, cannot be expected to forget or delete a data as it would be expected from a tabular database, and they should be treated more like a mechanical brain, albeit still in development.",2024-03-06
"53","nurses as agents for achieving environmentally sustainable health systems: a bibliometric analysis","olga maria luque alcaraz, pilar aparicio-martínez, antonio gomera, manuel vaquero-abellán","computers and society","objective: to analyze the current scientific knowledge and research lines focused on environmentally sustainable health systems, including the role of nurses. background: there seem to be differences between creating interventions focused on environmentally sustainable health systems, including nurses, and the scarcity of research on this topic, framed on the sustainable development goals. methods: a bibliometric analysis was carried out, via three databases (web of science, scopus, and pubmed), and the guideline recommendations were followed to select bibliometric data. results: the search resulted in 159 publications, significantly increasing the trends from 2017 to 2021 (p=0.028). the most relevant countries in this area were the united states of america, the united kingdom, and sweden. also, the top articles were from relevant journals, indexed in journal citation report, and the first and the second quartile linked to the nursing field and citations (p<0.001). conclusion: education is key to achieving environmentally sustainable health systems via institutions and policies. implications for nursing management: there is a lack of experimental data and policies on achieving or maintaining environmentally sustainable health care systems, indicating that nurses have an important role and should be consulted and included in decision-making policies regarding sustainability in the healthcare systems.",2024-02-05
"54","erbench: an entity-relationship based automatically verifiable hallucination benchmark for large language models","jio oh, soyeon kim, junseok seo, jindong wang, ruochen xu, xing xie, steven euijong whang","computation and language","large language models (llms) have achieved unprecedented performance in various applications, yet their evaluation remains a critical issue. existing hallucination benchmarks are either static or lack adjustable complexity for thorough analysis. we contend that utilizing existing relational databases is a promising approach for constructing benchmarks due to their accurate knowledge description via functional dependencies. we propose erbench to automatically convert any relational database into a benchmark based on the entity-relationship (er) model. our key idea is to construct questions using the database schema, records, and functional dependencies such that they can be automatically verified. in addition, we use foreign key constraints to join relations and construct multihop questions, which can be arbitrarily complex and used to debug the intermediate answers of llms. finally, erbench supports continuous evaluation, multimodal questions, and various prompt engineering techniques. in our experiments, we construct an llm benchmark using databases of multiple domains and make an extensive comparison of contemporary llms. we observe that better llms like gpt-4 can handle a larger variety of question types, but are by no means perfect. also, correct answers do not necessarily imply correct rationales, which is an important evaluation that erbench does better than other benchmarks for various question types. code is available at https: //github.com/dilab-kaist/erbench.",2024-03-08
"55","fairness-aware interpretable modeling (faim) for trustworthy machine learning in healthcare","mingxuan liu, yilin ning, yuhe ke, yuqing shang, bibhas chakraborty, marcus eng hock ong, roger vaughan, nan liu","machine learning","the escalating integration of machine learning in high-stakes fields such as healthcare raises substantial concerns about model fairness. we propose an interpretable framework - fairness-aware interpretable modeling (faim), to improve model fairness without compromising performance, featuring an interactive interface to identify a ""fairer"" model from a set of high-performing models and promoting the integration of data-driven evidence and clinical expertise to enhance contextualized fairness. we demonstrated faim's value in reducing sex and race biases by predicting hospital admission with two real-world databases, mimic-iv-ed and sgh-ed. we show that for both datasets, faim models not only exhibited satisfactory discriminatory performance but also significantly mitigated biases as measured by well-established fairness metrics, outperforming commonly used bias-mitigation methods. our approach demonstrates the feasibility of improving fairness without sacrificing performance and provides an a modeling mode that invites domain experts to engage, fostering a multidisciplinary effort toward tailored ai fairness.",2024-03-08
"56","interoperability of the metaverse: a digital ecosystem perspective review","liang yang, shi-ting ni, yuyang wang, ao yu, jyh-an lee, pan hui","computers and society","the metaverse is at the vanguard of the impending digital revolution, with the potential to significantly transform industries and lifestyles. however, in 2023, skepticism surfaced within industrial and academic spheres, raising concerns that excitement may outpace actual technological progress. interoperability, recognized as a major barrier to the metaverse's full potential, is central to this debate. coinmarketcap's report in february 2023 indicated that of over 240 metaverse initiatives, most existed in isolation, underscoring the interoperability challenge. despite consensus on its critical role, there is a research gap in exploring the impact on the metaverse, significance, and developmental extent. our study bridges this gap via a systematic literature review and content analysis of the web of science (wos) and scopus databases, yielding 74 publications after a rigorous selection process. interoperability, difficult to define due to varied contexts and lack of standardization, is central to the metaverse, often seen as a digital ecosystem. urs gasser's framework from harvard law school, outlining technological, data, human, and institutional dimensions, systematically addresses interoperability complexities. incorporating this framework, we dissect literature for a comprehensive metaverse interoperability overview. our study seeks to establish benchmarks for future inquiries, navigating the complex field of metaverse interoperability studies and contributing to academic advancement.",2024-03-08
"57","correlation analysis technique of key parameters for transformer material inspection based on fp-tree and knowledge graph","jing xu, yongbo zhang","systems and control","as one of the key equipment in the distribution system, the distribution transformer directly affects the reliability of the user power supply. the probability of accidents occurring in the operation of transformer equipment is high, so it has become a focus of material inspection in recent years. however, the large amount of raw data from sample testing is not being used effectively. given the above problems, this paper aims to mine the relationship between the unqualified distribution transformer inspection items by using the association rule algorithm based on the distribution transformer inspection data collected from 2017 to 2021 and sorting out the key inspection items. at the same time, the unqualified judgment basis of the relevant items is given, and the internal relationship between the inspection items is clarified to a certain extent. furthermore, based on material and equipment inspection reports, correlations between failed inspection items, and expert knowledge, the knowledge graph of material equipment inspection management is constructed in the graph database neo4j. the experimental results show that the fp-growth method performs significantly better than the apriori method and can accurately assess the relationship between failed distribution transformer inspection items. finally, the knowledge graph network is visualized to provide a systematic knowledge base for material inspection, which is convenient for knowledge query and management. this method can provide a scientific guidance program for operation and maintenance personnel to do equipment maintenance and also offers a reference for the state evaluation of other high-voltage equipment.",2024-03-08
"58","np-completeness for the space-optimality of double-array tries","hideo bannai, keisuke goto, shunsuke kanda, dominik köppl","data structures and algorithms","indexing a set of strings for prefix search or membership queries is a fundamental task with many applications such as information retrieval or database systems. a classic abstract data type for modelling such an index is a trie. due to the fundamental nature of this problem, it has sparked much interest, leading to a variety of trie implementations with different characteristics. a trie implementation that has been well-used in practice is the double-array (trie) consisting of merely two integer arrays. while a traversal takes constant time per node visit, the needed space consumption in computer words can be as large as the product of the number of nodes and the alphabet size. despite that several heuristics have been proposed on lowering the space requirements, we are unaware of any theoretical guarantees. in this paper, we study the decision problem whether there exists a double-array of a given size. to this end, we first draw a connection to the sparse matrix compression problem, which makes our problem np-complete for alphabet sizes linear to the number of nodes. we further propose a reduction from the restricted directed hamiltonian path problem, leading to np-completeness even for logarithmic-sized alphabets.",2024-03-07
"59","evaluation of nosql in the energy marketplace with graphql optimization","michael howard","databases","the growing popularity of electric vehicles in the united states requires an ever-expanding infrastructure of commercial dc fast charging stations. the u.s. department of energy estimates 33,355 publicly available dc fast charging stations as of september 2023. range anxiety is an important impediment to the adoption of electric vehicles and is even more relevant in underserved regions in the country. the peer-to-peer energy marketplace helps fill the demand by allowing private home and small business owners to rent their 240 volt, level-2 charging facilities. the existing, publicly accessible outlets are wrapped with a cloud-connected microcontroller managing security and charging sessions. these microcontrollers act as edge devices communicating with a cloud message broker, while both buyer and seller users interact with the framework via a web-based user interface. the database storage used by the marketplace framework is a key component in both the cost of development and the performance that contributes to the user experience. a traditional storage solution is the sql database. however, difficulty in scaling across multiple nodes and cost of its server-based compute have resulted in a trend in the last 20 years towards other nosql, serverless approaches. in this study, we evaluate the nosql vs. sql solutions through a comparison of google cloud firestore and cloud sql mysql offerings. the comparison pits google's serverless, document-model, non-relational, nosql against the server-base, table-model, relational, sql service. the evaluation is based on query latency, flexibility/scalability, and cost criteria. through benchmarking and analysis of the architecture, we determine whether firestore can support the energy marketplace storage needs and if the introduction of a graphql middleware layer can overcome its deficiencies.",2024-03-07
"60","large language multimodal models for 5-year chronic disease cohort prediction using ehr data","jun-en ding, phan nguyen minh thao, wen-chih peng, jian-zhe wang, chun-cheng chug, min-chen hsieh, yun-chien tseng, ling chen, dongsheng luo, chi-te wang, pei-fu chen, feng liu, fang-ming hung","computation and language","chronic diseases such as diabetes are the leading causes of morbidity and mortality worldwide. numerous research studies have been attempted with various deep learning models in diagnosis. however, most previous studies had certain limitations, including using publicly available datasets (e.g. mimic), and imbalanced data. in this study, we collected five-year electronic health records (ehrs) from the taiwan hospital database, including 1,420,596 clinical notes, 387,392 laboratory test results, and more than 1,505 laboratory test items, focusing on research pre-training large language models. we proposed a novel large language multimodal models (llmms) framework incorporating multimodal data from clinical notes and laboratory test results for the prediction of chronic disease risk. our method combined a text embedding encoder and multi-head attention layer to learn laboratory test values, utilizing a deep neural network (dnn) module to merge blood features with chronic disease semantics into a latent space. in our experiments, we observe that clinicalbert and pubmed-bert, when combined with attention fusion, can achieve an accuracy of 73% in multiclass chronic diseases and diabetes prediction. by transforming laboratory test values into textual descriptions and employing the flan t-5 model, we achieved a 76% area under the roc curve (auroc), demonstrating the effectiveness of leveraging numerical text data for training and inference in language models. this approach significantly improves the accuracy of early-stage diabetes prediction.",2024-03-02
"61","what cannot be skipped about the skiplist: a survey of skiplists and their applications in big data systems","venkata sai pavan kumar vadrevu, lu xing, walid g. aref","databases","skiplists have become prevalent in systems. the main advantages of skiplists are their simplicity and ease of implementation, and the ability to support operations in the same asymptotic complexities as their tree-based counterparts. in this survey, we explore skiplists and their many variants. we highlight many scenarios of how skiplists are useful and fit well in these usage scenarios. we study several extensions to skiplists to make them fit for more applications, e.g., their use in the multi-dimensional space, network overlaying algorithms, as well as serving as indexes in database systems. besides, we also discuss systems that adopt the idea of skiplists and apply the probabilistic skip pattern into their designs.",2024-03-07
"62","children age group detection based on human-computer interaction and time series analysis","juan carlos ruiz-garcia, carlos hojas, ruben tolosana, ruben vera-rodriguez, aythami morales, julian fierrez, javier ortega-garcia, jaime herreros-rodriguez","human-computer interaction","this article proposes a novel children-computer interaction (cci) approach for the task of age group detection. this approach focuses on the automatic analysis of the time series generated from the interaction of the children with mobile devices. in particular, we extract a set of 25 time series related to spatial, pressure, and kinematic information of the children interaction while colouring a tree through a pen stylus tablet, a specific test from the large-scale public childcidb database. a complete analysis of the proposed approach is carried out using different time series selection techniques to choose the most discriminative ones for the age group detection task: i) a statistical analysis, and ii) an automatic algorithm called sequential forward search (sfs). in addition, different classification algorithms such as dynamic time warping barycenter averaging (dba) and hidden markov models (hmm) are studied. accuracy results over 85% are achieved, outperforming previous approaches in the literature and in more challenging age group conditions. finally, the approach presented in this study can benefit many children-related applications, for example, towards an age-appropriate environment with the technology.",2024-03-07
"63","dissociative recombination of ns+ in collisions with slow electrons","r. hassaine, f. gauchet, f. iacob, j. zs mezei, e. roueff, j. tennyson, i. f. schneider","instrumentation and methods for astrophysics","cross sections and rate coefficients for the dissociative recombination (dr) of the ns+ ion induced by collisions with low-energy electrons are reported for temperatures between 10 and 1000 k, relevant to a large range of interstellar cloud temperatures. uncertainties are discussed for these rates. comparisons are made with dr rates for the isovalent no+ molecular ion which are found to be much faster. the present findings lead to a moderate dissociative reaction rate coefficient, smaller by a factor of 2 than the current estimates reported in the different kinetic databases for a temperature of 10 k. we consider that our rate coefficients obtained through multichannel quantum defect theory for ns+ are likely to be better than those displayed in the different kinetic databases.",2024-03-07
"64","on $(r,c)$-constant, planar and circulant graphs","yair caro, xandru mifsud","combinatorics","this paper concerns $(r,c)$-constant graphs, which are $r$-regular graphs in which the subgraph induced by the open neighbourhood of every vertex has precisely $c$ edges. the family of $(r,c)$-graphs contains vertex-transitive graphs (and in particular cayley graphs), graphs with constant link (sometimes called locally isomorphic graphs), $(r,b)$-regular graphs, strongly regular graphs, and much more. this family was recently introduced in [arxiv:2312.08777] serving as important tool in constructing flip graphs [arxiv:2312.08777, arxiv:2401.02315]. in this paper we shall mainly deal with the following: i. existence and non-existence of $(r, c)$-planar graphs. we completely determine the cases of existence and non-existence of such graphs and supply the smallest order in the case when they exist. ii. we consider the existence of $(r, c)$-circulant graphs. we prove that for $c \equiv 2 \ (\mathrm{mod} \ 3)$ no $(r,c)$-circulant graph exists and that for $c \equiv 0, 1 \ (\mathrm{mod} \ 3)$, $c > 0$ and $r \geq 6 + \sqrt{\frac{8c - 5}{3}}$ there exists $(r,c)$-circulant graphs. moreover for $c = 0$ and $r \geq 1$, $(r, 0)$-circulants exist. iii. we consider the existence and non-existence of small $(r,c)$-constant graphs, supplying a complete table of the smallest order of graphs we found for $0 \leq c \leq \binom{r}{2}$ and $r \leq 6$. we shall also determine all the cases in this range for which $(r,c)$-constant graphs don't exist. we establish a public database of $(r,c)$-constant graphs for varying $r$, $c$ and order.",2024-03-07
"65","exploring llm-based agents for root cause analysis","devjeet roy, xuchao zhang, rashi bhave, chetan bansal, pedro las-casas, rodrigo fonseca, saravan rajmohan","software engineering","the growing complexity of cloud based software systems has resulted in incident management becoming an integral part of the software development lifecycle. root cause analysis (rca), a critical part of the incident management process, is a demanding task for on-call engineers, requiring deep domain knowledge and extensive experience with a team's specific services. automation of rca can result in significant savings of time, and ease the burden of incident management on on-call engineers. recently, researchers have utilized large language models (llms) to perform rca, and have demonstrated promising results. however, these approaches are not able to dynamically collect additional diagnostic information such as incident related logs, metrics or databases, severely restricting their ability to diagnose root causes. in this work, we explore the use of llm based agents for rca to address this limitation. we present a thorough empirical evaluation of a react agent equipped with retrieval tools, on an out-of-distribution dataset of production incidents collected at microsoft. results show that react performs competitively with strong retrieval and reasoning baselines, but with highly increased factual accuracy. we then extend this evaluation by incorporating discussions associated with incident reports as additional inputs for the models, which surprisingly does not yield significant performance improvements. lastly, we conduct a case study with a team at microsoft to equip the react agent with tools that give it access to external diagnostic services that are used by the team for manual rca. our results show how agents can overcome the limitations of prior work, and practical considerations for implementing such a system in practice.",2024-03-07
